epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
80,37372.6,0.35127,0.4218,0.10424,0.70223,0.7781,0.72384,0.56,0.35968,0.58248,0.14539,0.000114615,0.000114615,0.000114615
81,37830.4,0.38936,0.44207,0.10704,0.70225,0.78253,0.72439,0.57378,0.34257,0.58115,0.13502,0.000109408,0.000109408,0.000109408
82,38287.9,0.42693,0.44736,0.12823,0.70021,0.78205,0.72174,0.576,0.3333,0.57565,0.12976,0.000104201,0.000104201,0.000104201
83,38741.1,0.41746,0.43443,0.10732,0.69802,0.78192,0.71922,0.56918,0.33686,0.58384,0.12317,9.89932e-05,9.89932e-05,9.89932e-05
84,39201.4,0.3979,0.44942,0.10658,0.69494,0.7675,0.72217,0.56487,0.34076,0.58846,0.12334,9.37858e-05,9.37858e-05,9.37858e-05
85,39659.7,0.40504,0.44868,0.11137,0.69549,0.76797,0.72082,0.57051,0.33333,0.59027,0.11796,8.85784e-05,8.85784e-05,8.85784e-05
86,40119.3,0.36865,0.42196,0.1036,0.698,0.77046,0.72156,0.58968,0.32528,0.58987,0.11138,8.3371e-05,8.3371e-05,8.3371e-05
87,40578.4,0.39721,0.41976,0.11143,0.70246,0.77856,0.72716,0.59431,0.32274,0.58444,0.11492,7.81636e-05,7.81636e-05,7.81636e-05
88,41042.3,0.41011,0.42023,0.10754,0.71184,0.77856,0.72392,0.58094,0.33085,0.57692,0.13019,7.29562e-05,7.29562e-05,7.29562e-05
89,85703.5,0.34741,0.40678,0.09089,0.7152,0.7767,0.7182,0.57019,0.33939,0.57835,0.1377,6.77488e-05,6.77488e-05,6.77488e-05
90,86194.2,0.36424,0.41526,0.10206,0.72715,0.76746,0.71889,0.56947,0.34056,0.57348,0.14073,6.25414e-05,6.25414e-05,6.25414e-05
91,86684.7,0.28934,0.38846,0.07936,0.74634,0.75261,0.71774,0.56581,0.35382,0.56571,0.14544,5.7334e-05,5.7334e-05,5.7334e-05
92,87209.6,0.31325,0.38341,0.07426,0.74852,0.76468,0.72855,0.57803,0.35263,0.56511,0.14907,5.21266e-05,5.21266e-05,5.21266e-05
93,87739.2,0.30348,0.3796,0.0814,0.74819,0.76468,0.72729,0.57122,0.35699,0.57294,0.15061,4.69192e-05,4.69192e-05,4.69192e-05
94,88207.3,0.27523,0.36318,0.07366,0.75148,0.76206,0.7238,0.56657,0.36323,0.57859,0.15284,4.17118e-05,4.17118e-05,4.17118e-05
95,88668.1,0.27404,0.35688,0.08539,0.73961,0.76259,0.72271,0.55767,0.36004,0.57108,0.14891,3.65044e-05,3.65044e-05,3.65044e-05
96,89185.3,0.28193,0.36458,0.0796,0.73733,0.75575,0.72263,0.55619,0.36188,0.56664,0.14567,3.1297e-05,3.1297e-05,3.1297e-05
97,89655.3,0.30299,0.3759,0.08171,0.73908,0.75575,0.72031,0.55856,0.35894,0.56644,0.14445,2.60896e-05,2.60896e-05,2.60896e-05
98,90121.3,0.28712,0.36987,0.07811,0.74213,0.75575,0.7199,0.56169,0.35183,0.57313,0.14598,2.08822e-05,2.08822e-05,2.08822e-05
99,90592.4,0.29599,0.37519,0.07327,0.74278,0.75575,0.72027,0.56556,0.34874,0.56648,0.14422,1.56748e-05,1.56748e-05,1.56748e-05
100,91067.3,0.26387,0.35407,0.08397,0.74396,0.75575,0.71954,0.57141,0.34689,0.56663,0.14031,1.04674e-05,1.04674e-05,1.04674e-05
